#.t	Rural_baseflow
#d	m/d
47.75	0.001357668
47.7916667	0.00137598
47.8333333	0.001423968
47.875	0.001442029
47.9166667	0.001449243
47.9583333	0.001453377
48	0.001470518
48.0416667	0.001480068
48.0833333	0.001494905
48.125	0.001493132
48.1666667	0.001502396
48.2083333	0.001495879
48.25	0.00149253
48.2916667	0.001479738
48.3333333	0.00148732
48.375	0.001486178
48.4166667	0.001476613
48.4583333	0.001467379
48.5	0.001462942
48.5416667	0.001460813
48.5833333	0.00145861
48.625	0.001440758
48.6666667	0.001440934
48.7083333	0.001452416
48.75	0.001446584
48.7916667	0.001442948
48.8333333	0.00144297
48.875	0.001435359
48.9166667	0.001454837
48.9583333	0.001482345
49	0.001558197
49.0416667	0.001670681
49.0833333	0.001799256
49.125	0.001845879
49.1666667	0.001907057
49.2083333	0.001957188
49.25	0.001975819
49.2916667	0.001997772
49.3333333	0.002012495
49.375	0.002020021
49.4166667	0.002024671
49.4583333	0.002022757
49.5	0.00203927
49.5416667	0.002033864
49.5833333	0.002025089
49.625	0.002016192
49.6666667	0.002007233
49.7083333	0.002011968
49.75	0.002010658
49.7916667	0.002025277
49.8333333	0.00200571
49.875	0.001990747
49.9166667	0.001970266
49.9583333	0.001945133
50	0.001913409
50.0416667	0.001893834
50.0833333	0.001861977
50.125	0.001834993
50.1666667	0.001808021
50.2083333	0.001786499
50.25	0.001745983
50.2916667	0.001723326
50.3333333	0.001708113
50.375	0.001675457
50.4166667	0.001651889
50.4583333	0.001615663
50.5	0.001583396
50.5416667	0.001573484
50.5833333	0.001555412
50.625	0.001547891
50.6666667	0.001534852
50.7083333	0.001519343
50.75	0.001509814
50.7916667	0.001518893
50.8333333	0.001517326
50.875	0.001521924
50.9166667	0.001512185
50.9583333	0.001508049
51	0.001496814
51.0416667	0.001495092
51.0833333	0.001495841
51.125	0.001477148
51.1666667	0.001460839
51.2083333	0.001453912
51.25	0.001439083
51.2916667	0.001418582
51.3333333	0.0014165
51.375	0.001409816
